outcome,display_name,horizon,horizon_label,beta,se,lower95,upper95,n,ci_excludes_zero,sign_label,interpretation_note
checkable_deposits_bank_qoq,Checkable deposits,0,impact,24.93081051914459,12.991837237902743,-0.533190467144788,50.394811505433964,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_deposits_bank_qoq,Checkable deposits,4,medium_run,84.03201016928627,67.68241832436684,-48.625529746472736,216.68955008504525,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_deposits_bank_qoq,Checkable deposits,8,longer_run,70.09511338578551,88.47741369689304,-103.32061746012485,243.51084423169587,60,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
interbank_transactions_bank_qoq,Interbank transactions,0,impact,9.321506786946635,3.9428462612752666,1.5935281148471132,17.049485459046156,68,true,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
interbank_transactions_bank_qoq,Interbank transactions,4,medium_run,5.225705944128091,5.12789634591379,-4.824970893862938,15.27638278211912,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
interbank_transactions_bank_qoq,Interbank transactions,8,longer_run,16.59805944456397,9.530509076356457,-2.0817383450946885,35.27785723422262,60,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
time_savings_deposits_bank_qoq,Time and savings deposits,0,impact,17.9779623031357,16.681187656432833,-14.717165503472653,50.67309010974405,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
time_savings_deposits_bank_qoq,Time and savings deposits,4,medium_run,19.66233270681603,32.12174343619916,-43.29628442813432,82.62094984176639,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
time_savings_deposits_bank_qoq,Time and savings deposits,8,longer_run,-45.491937945525706,47.93781022876727,-139.45004599390955,48.46617010285814,60,false,negative,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_federal_govt_bank_qoq,Checkable: federal government,0,impact,0.047590783529871575,0.049473418672669495,-0.04937711706856063,0.14455868412830378,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_federal_govt_bank_qoq,Checkable: federal government,4,medium_run,0.003933862673234097,0.07379210086177176,-0.14069865501583856,0.14856638036230674,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_federal_govt_bank_qoq,Checkable: federal government,8,longer_run,0.2455032427036849,0.10647912845124471,0.03680415093924527,0.4542023344681245,60,true,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_state_local_bank_qoq,Checkable: state and local government,0,impact,1.435787962637367,0.9774760424788743,-0.48006508062122655,3.351641005895961,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_state_local_bank_qoq,Checkable: state and local government,4,medium_run,6.895797617928014,3.609314372768477,-0.178458552698201,13.970053788554228,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_state_local_bank_qoq,Checkable: state and local government,8,longer_run,9.689891862944135,6.698256987138837,-3.4386918318479847,22.818475557736257,60,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_rest_of_world_bank_qoq,Checkable: rest of world,0,impact,0.30980287541627066,0.4574240141765523,-0.5867481923697719,1.2063539432023132,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_rest_of_world_bank_qoq,Checkable: rest of world,4,medium_run,0.5276376227665803,1.3588047297187698,-2.1356196474822084,3.1908948930153693,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_rest_of_world_bank_qoq,Checkable: rest of world,8,longer_run,0.3799471307760325,0.861079965829881,-1.3077696022505343,2.0676638638025993,60,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_private_domestic_bank_qoq,Checkable: private domestic,0,impact,23.426162667680515,12.147474348752652,-0.38288705587468286,47.23521239123571,68,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_private_domestic_bank_qoq,Checkable: private domestic,4,medium_run,80.89731327878158,64.29715831337194,-45.12511701542742,206.91974357299057,64,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
checkable_private_domestic_bank_qoq,Checkable: private domestic,8,longer_run,65.63050696769194,82.00819082572967,-95.1055470507382,226.36656098612207,60,false,positive,Secondary observed deposit-type side read; not a clean decomposition of the non-TDC residual.
